accession,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8,taxon_9,name,source,env_material,env_biome,biotic_relationship,specific_host,host_gb,host_taxonomy,geo_loc_name,publication,authors,journal,organism_gb,clone_gb,environment_gb,host_gb,country_gb,publication_gb,authors_gb,journal_gb
AF199448,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9925,Capra hircus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCetartiodactyla;ÊRuminantia;ÊPecora;ÊBovidae;ÊCaprinae;ÊCapra,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,BAG1,NA,Capra hircus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF199449,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,9612,Canis lupus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊLaurasiatheria;ÊCarnivora;ÊCaniformia;ÊCanidae;ÊCanis;ÊCanis lupus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,Dog19,NA,Canis lupus,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF199450,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,NA,NA,NA,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)",Giardia intestinalis,Rat2,NA,NA,NA,Nomenclature and genetic groupings of Giardia infecting mammals,"Thompson,R.C., Hopkins,R.M. and Homan,W.L.","Parasitol. Today (Regul. Ed.) 16 (5), 210-213 (2000)"
AF006676,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia microti,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),parasite,NA,NA,NA,NA,The sequence of Giardia small subunit rRNA shows that voles and muskrats are parasitized by a unique species Giardia microti,"van Keulen,H., Feely,D.E., Macechko,P.T., Jarroll,E.L. and Erlandsen,S.L.","J. Parasitol. 84 (2), 294-300 (1998)",NA,"v8; v11,;m14",NA,NA,NA,The sequence of Giardia small subunit rRNA shows that voles and muskrats are parasitized by a unique species Giardia microti,"van Keulen,H., Feely,D.E., Macechko,P.T., Jarroll,E.L. and Erlandsen,S.L.","J. Parasitol. 84 (2), 294-300 (1998)"
AF006677,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia microti,isolate,intestine environment (ENVO:2100002),mammalia-associated environment (ENVO missing),parasite,NA,NA,NA,NA,The sequence of Giardia small subunit rRNA shows that voles and muskrats are parasitized by a unique species Giardia microti,"van Keulen,H., Feely,D.E., Macechko,P.T., Jarroll,E.L. and Erlandsen,S.L.","J. Parasitol. 84 (2), 294-300 (1998)",NA,m13,NA,NA,NA,The sequence of Giardia small subunit rRNA shows that voles and muskrats are parasitized by a unique species Giardia microti,"van Keulen,H., Feely,D.E., Macechko,P.T., Jarroll,E.L. and Erlandsen,S.L.","J. Parasitol. 84 (2), 294-300 (1998)"
X65063,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia muris,isolate,NA,mammalia-associated environment (ENVO missing),parasite,NA,NA,NA,NA,The nucleotide sequence of the entire ribosomal DNA operon and the structure of the large subunit rRNA of Giardia muris,"van Keulen,H., Gutell,R.R., Campbell,S.R., Erlandsen,S.L. and Jarroll,E.L.","J. Mol. Evol. 35 (4), 318-328 (1992)",NA,,NA,NA,NA,The nucleotide sequence of the entire ribosomal DNA operon and the structure of the large subunit rRNA of Giardia muris,"van Keulen,H., Gutell,R.R., Campbell,S.R., Erlandsen,S.L. and Jarroll,E.L.","J. Mol. Evol. 35 (4), 318-328 (1992)"
Z17210,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia ardeae,isolate,NA,NA,parasite,NA,NA,NA,NA,"Unique phylogenetic position of Diplomonadida based on the complete small subunit ribosomal RNA sequence of Giardia ardeae, G. muris, G. duodenalis and Hexamita sp","van Keulen,H., Gutell,R.R., Gates,M.A., Campbell,S.R., Erlandsen,S.L., Jarroll,E.L., Kulda,J. and Meyer,E.A.","FASEB J. 7 (1), 223-231 (1993)",Giardia ardeae,,NA,NA,NA,"Unique phylogenetic position of Diplomonadida based on the complete small subunit ribosomal RNA sequence of Giardia ardeae, G. muris, G. duodenalis and Hexamita sp","van Keulen,H., Gutell,R.R., Gates,M.A., Campbell,S.R., Erlandsen,S.L., Jarroll,E.L., Kulda,J. and Meyer,E.A.","FASEB J. 7 (1), 223-231 (1993)"
U09491,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,gut environment (ENVO:missing),human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Netherlands: Amsterdam,A three nucleotide signature sequence in small subunit rRNA divides human Giardia in two different genotypes,"van Keulen,H., Homan,W.L., Erlandsen,S.L. and Jarroll,E.L.","J. Eukaryot. Microbiol. 42 (4), 392-394 (1995)",Giardia intestinalis,AMC-4,NA,Homo sapiens,Netherlands: Amstrdam,A three nucleotide signature sequence in small subunit rRNA divides human Giardia in two different genotypes,"van Keulen,H., Homan,W.L., Erlandsen,S.L. and Jarroll,E.L.","J. Eukaryot. Microbiol. 42 (4), 392-394 (1995)"
U09492,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,gut environment (ENVO:missing),human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,USA: Washington,A three nucleotide signature sequence in small subunit rRNA divides human Giardia in two different genotypes,"van Keulen,H., Homan,W.L., Erlandsen,S.L. and Jarroll,E.L.","J. Eukaryot. Microbiol. 42 (4), 392-394 (1995)",Giardia intestinalis,CM,NA,Homo sapiens,USA: Washington,A three nucleotide signature sequence in small subunit rRNA divides human Giardia in two different genotypes,"van Keulen,H., Homan,W.L., Erlandsen,S.L. and Jarroll,E.L.","J. Eukaryot. Microbiol. 42 (4), 392-394 (1995)"
AF473852,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,mammalia-associated environment (ENVO missing),parasite,10042,Peromyscus maniculatus,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊGlires;ÊRodentia;ÊMyomorpha;ÊMuroidea;ÊCricetidae;ÊNeotominae;ÊPeromyscus,NA,"Presence of human Giardia in domestic, farm and wild animals, and environmental samples suggests a zoonotic potential for giardiasis","van Keulen,H., Macechko,P.T., Wade,S., Schaaf,S., Wallis,P.M. and Erlandsen,S.L.","Vet. Parasitol. 108 (2), 97-107 (2002)",Giardia intestinalis,,NA,Peromyscus maniculatus,NA,"Presence of human Giardia in domestic, farm and wild animals, and environmental samples suggests a zoonotic potential for giardiasis","van Keulen,H., Macechko,P.T., Wade,S., Schaaf,S., Wallis,P.M. and Erlandsen,S.L.","Vet. Parasitol. 108 (2), 97-107 (2002)"
AF473853,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia psittaci,isolate,NA,NA,parasite,NA,NA,NA,NA,"Presence of human Giardia in domestic, farm and wild animals, and environmental samples suggests a zoonotic potential for giardiasis","van Keulen,H., Macechko,P.T., Wade,S., Schaaf,S., Wallis,P.M. and Erlandsen,S.L.","Vet. Parasitol. 108 (2), 97-107 (2002)",Giardia psittaci,,NA,NA,NA,"Presence of human Giardia in domestic, farm and wild animals, and environmental samples suggests a zoonotic potential for giardiasis","van Keulen,H., Macechko,P.T., Wade,S., Schaaf,S., Wallis,P.M. and Erlandsen,S.L.","Vet. Parasitol. 108 (2), 97-107 (2002)"
HQ179640,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Autralia: Derby,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,30c7,NA,Homo sapiens,Autralia: Derby,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179641,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Perth,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,33c2,NA,Homo sapiens,"South-Western Australia, Perth",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179642,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,34c8,NA,Homo sapiens,North-Western Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179633,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Kutanning,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,7c3,NA,Homo sapiens,"South-Western Australia, Kutanning",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179632,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Petrh,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,39c10,NA,Homo sapiens,"South-Western Australia, Petrh",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179635,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Karratha,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,42c5,NA,Homo sapiens,"North-Western Australia, Karratha",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179637,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Northam,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,49c11,NA,Homo sapiens,"South-Western Australia, Northam",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179636,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,15c1,NA,Homo sapiens,North-Western Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179639,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Woodanilling,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,2c2,NA,Homo sapiens,"South-Western Australia, Woodanilling",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179638,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,54c14,NA,Homo sapiens,North-Western Australia: Kununurra,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
HQ179634,Eukaryota,Excavata,Metamonada,Fornicata,Diplomonadida,Giardiinae,Giardiinae,Giardiinae,Giardiinae,Giardia intestinalis,isolate,NA,human-associated environment (ENVO missing),parasite,9606,Homo sapiens,Eukaryota;ÊOpisthokonta;ÊMetazoa;ÊEumetazoa;ÊBilateria;ÊDeuterostomia;ÊChordata;ÊCraniata;ÊVertebrata;ÊGnathostomata;ÊTeleostomi;ÊEuteleostomi;ÊSarcopterygii;ÊDipnotetrapodomorpha;ÊTetrapoda;ÊAmniota;ÊMammalia;ÊTheria;ÊEutheria;ÊBoreoeutheria;ÊEuarchontoglires;ÊPrimates;ÊHaplorrhini;ÊSimiiformes;ÊCatarrhini;ÊHominoidea;ÊHominidae;ÊHomininae;ÊHomo;ÊHomo sapiens,Australia: Perth,Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)",Giardia intestinalis,46c2,NA,Homo sapiens,"South-Western Australia, Perth",Multi-locus analysis of Giardia duodenalis intra-Assemblage B substitution patterns in cloned culture isolates suggests sub-Assemblage B analyses will require multi-locus genotyping with conserved and variable genes,"Wielinga,C., Ryan,U., Andrew Thompson,R.C. and Monis,P.","Int. J. Parasitol. 41 (5), 495-503 (2011)"
